Timestamp,ProjectID,ContentPieces,TotalWords,Platforms,TopTopics,ProcessingTime(ms),ErrorCount,WarningCount
2025-11-11T05:19:20.542Z,fdaad529-8959-4e3b-9060-aea545a2d5a8,13,3303,twitter|linkedin|instagram|general,acetaminophen|public health|neurotoxic risk,46731,0,1
2025-11-12T03:06:15.025Z,test-project-1762916774916,0,0,,,108,1,0
2025-11-12T03:06:15.044Z,test-project-1762916775034,0,0,,,9,1,0
2025-11-12T03:06:15.053Z,test-project-1762916775046,0,0,,,7,1,0
2025-11-12T03:06:15.065Z,test-project-1762916775055,0,0,,,9,1,0
2025-11-12T03:06:15.185Z,test-project-1762916775142,0,0,,,41,1,0
2025-11-12T03:06:15.199Z,test-project-1762916775188,0,0,,,11,1,0
2025-11-12T03:06:15.220Z,test-project-1762916775201,0,0,,,19,1,0
2025-11-12T03:06:15.233Z,test-project-1762916775222,0,0,,,10,1,0
2025-11-12T03:06:15.247Z,test-project-1762916775236,0,0,,,11,1,0
2025-11-12T03:06:15.264Z,test-project-1762916775252,0,0,,,12,1,0
2025-11-12T03:06:15.277Z,test-project-1762916775269,0,0,,,7,1,0
2025-11-12T03:06:15.283Z,test-project-1762916775278,0,0,,,5,1,0
2025-11-12T03:09:58.571Z,test-project-1762916998482,0,0,,,89,1,0
2025-11-12T03:09:58.600Z,test-project-1762916998583,0,0,,,16,1,0
2025-11-12T03:09:58.613Z,test-project-1762916998603,0,0,,,10,1,0
2025-11-12T03:09:58.627Z,test-project-1762916998617,0,0,,,9,1,0
2025-11-12T03:09:58.639Z,test-project-1762916998630,0,0,,,8,1,0
2025-11-12T03:09:58.655Z,test-project-1762916998643,0,0,,,11,1,0
2025-11-12T03:09:58.675Z,test-project-1762916998657,0,0,,,18,1,0
2025-11-12T03:09:58.688Z,test-project-1762916998677,0,0,,,10,1,0
2025-11-12T03:09:58.706Z,test-project-1762916998691,0,0,,,16,1,0
2025-11-12T03:09:58.721Z,test-project-1762916998708,0,0,,,13,1,0
2025-11-12T03:09:58.733Z,test-project-1762916998723,0,0,,,10,1,0
2025-11-12T03:09:58.741Z,test-project-1762916998735,0,0,,,6,1,0
2025-11-17T07:01:19.978Z,563ce83d-7075-49b4-bb3d-3e3e3c7d07ba,13,3398,twitter|linkedin|instagram|general,cybersecurity|election results|Democratic Party strategy,50787,0,1
